ticket_id,text,category,priority
TKT-11869,"Good morning, Is there a mobile app available for iOS and Android?",General Query,Low
TKT-11622,"Hi support team, It would be great to have a calendar view for task management.",Feature Request,Medium
TKT-10339,"Hello, The mobile app crashes whenever I try to upload an image. Please help.",Technical Issue,Medium
TKT-11769,Urgent: Can you add keyboard shortcuts for common actions? Thanks in advance.,Feature Request,Medium
TKT-11536,"Hi support team, Dashboard widgets are not loading properly on Chrome browser.",Technical Issue,Medium
TKT-10483,"Hi support team, How do I change my display name on my profile?",Account,Low
TKT-10265,"Hi support team, The mobile app crashes whenever I try to upload an image.",Technical Issue,Medium
TKT-10376,Dark mode has a small color inconsistency on the settings page.,Technical Issue,Low
TKT-10741,"Hi support team, Minor lag when switching between tabs in the dashboard.",Technical Issue,Low
TKT-11013,Urgent: Minor lag when switching between tabs in the dashboard. Thanks in advance.,Technical Issue,Low
TKT-10439,"Hi support team, My account has been locked and I cannot access critical business data. This is affecting my work.",Account,High
TKT-10271,"Hello, When does my billing cycle reset each month?",Billing,Low
TKT-10184,Urgent: What integrations do you support with third-party tools? Please help.,General Query,Medium
TKT-10939,"Hello, My credit card was billed without authorization. This needs urgent attention. Thanks in advance.",Billing,High
TKT-10244,Urgent: Minor lag when switching between tabs in the dashboard. Please help.,Technical Issue,Low
TKT-10931,"Good morning, Please add the ability to export reports in Excel format.",Feature Request,Medium
TKT-10445,"Hello, My credit card was billed without authorization. This needs urgent attention.",Billing,High
TKT-10596,"Hello, My credit card was billed without authorization. This needs urgent attention. Please help.",Billing,High
TKT-10817,Urgent: Dashboard widgets are not loading properly on Chrome browser.,Technical Issue,Medium
TKT-11272,Urgent: When does my billing cycle reset each month? This is affecting my work.,Billing,Low
TKT-11676,Urgent: What integrations do you support with third-party tools?,General Query,Medium
TKT-10486,How do I change my display name on my profile? Please help.,Account,Low
TKT-10680,"Good morning, The UI looks slightly broken on Safari, minor layout issue. Thanks in advance.",Technical Issue,Low
TKT-10415,"Hello, What is your uptime SLA and how do you handle planned maintenance?",General Query,Medium
TKT-10273,Urgent: How do I update my notification preferences? This is affecting my work.,Account,Low
TKT-11471,Do you offer annual billing discounts? Thanks in advance.,Billing,Low
TKT-11829,"Good morning, I have a question about my invoice from last month.",Billing,Medium
TKT-11454,"Hi support team, Can you add keyboard shortcuts for common actions? Thanks in advance.",Feature Request,Medium
TKT-10250,"Hi support team, Can I get a receipt for my last payment? Thanks in advance.",Billing,Low
TKT-10413,"Good morning, Your service is completely down. We cannot access the platform at all. Thanks in advance.",Technical Issue,High
TKT-11385,"Hello, Do you offer a free trial for new users? Please help.",General Query,Low
TKT-11307,Does your platform support GDPR compliance features?,General Query,Medium
TKT-10715,"Hello, We are evaluating your platform for 500 users and need urgent response for a board decision tomorrow. Please help.",General Query,High
TKT-10310,"Hi support team, Minor lag when switching between tabs in the dashboard. This is affecting my work.",Technical Issue,Low
TKT-10926,"Good morning, We would love a dark mode option for the web interface. This is affecting my work.",Feature Request,Medium
TKT-10381,"Hello, Legal team needs your data processing agreement urgently for contract signing.",General Query,High
TKT-11565,Urgent: Do you offer a free trial for new users? This is affecting my work.,General Query,Low
TKT-10425,Minor lag when switching between tabs in the dashboard. Thanks in advance.,Technical Issue,Low
TKT-11874,"Hi support team, API returning 500 errors for all requests. Our entire workflow is blocked.",Technical Issue,High
TKT-10532,Urgent: How do I add a team member with limited permissions to my account? Thanks in advance.,Account,Medium
TKT-10752,Urgent: Can you explain how your data backup and recovery process works? Please help.,General Query,Medium
TKT-10765,I need to transfer my account to a new email address.,Account,Medium
TKT-11356,"Good morning, Dark mode has a small color inconsistency on the settings page. This is affecting my work.",Technical Issue,Low
TKT-10408,Our entire team is blocked without bulk export functionality. This is business critical. Please help.,Feature Request,High
TKT-11614,"Hello, Would be nice to have more color themes available. Thanks in advance.",Feature Request,Low
TKT-10694,"Hi support team, I have a question about my invoice from last month. This is affecting my work.",Billing,Medium
TKT-11738,How do I update my notification preferences?,Account,Low
TKT-10548,I have a question about my invoice from last month. Thanks in advance.,Billing,Medium
TKT-10936,"Hi support team, Dark mode has a small color inconsistency on the settings page.",Technical Issue,Low
TKT-11389,"Hello, What payment methods do you accept?",Billing,Low
TKT-11607,I need to transfer my account to a new email address. Please help.,Account,Medium
TKT-11939,"Good morning, Can you explain the charge on my latest billing statement? Please help.",Billing,Medium
TKT-11481,The mobile app crashes whenever I try to upload an image. Thanks in advance.,Technical Issue,Medium
TKT-10182,Urgent: When does my billing cycle reset each month? Thanks in advance.,Billing,Low
TKT-11940,Urgent: What are your customer support hours?,General Query,Low
TKT-11160,"Hi support team, Double billing occurred on my account. Need immediate resolution. Please help.",Billing,High
TKT-10170,My account has been locked and I cannot access critical business data. Please help.,Account,High
TKT-10292,I have a question about my invoice from last month.,Billing,Medium
TKT-10561,"Good morning, What payment methods do you accept?",Billing,Low
TKT-11456,I need to update my company details and billing address. Please help.,Account,Medium
TKT-11876,What languages does your platform support? Please help.,General Query,Low
TKT-11651,Legal team needs your data processing agreement urgently for contract signing.,General Query,High
TKT-10849,"Hi support team, The mobile app crashes whenever I try to upload an image.",Technical Issue,Medium
TKT-10272,Urgent: Dashboard widgets are not loading properly on Chrome browser.,Technical Issue,Medium
TKT-11549,Urgent: What languages does your platform support? Please help.,General Query,Low
TKT-11034,How do I add a team member with limited permissions to my account?,Account,Medium
TKT-11743,Can I add a profile picture to my account?,Account,Low
TKT-10371,I suspect my account has been compromised with logins from unknown locations.,Account,High
TKT-11669,I forgot my password and the reset email is not arriving.,Account,Medium
TKT-10721,"Hello, Critical bug: all our user data appears corrupted after the last update. Thanks in advance.",Technical Issue,High
TKT-10733,Urgent: I need to transfer my account to a new email address.,Account,Medium
TKT-10777,The export feature is not working correctly. Files download but are empty.,Technical Issue,Medium
TKT-10518,Urgent: Is there a mobile app available for iOS and Android?,General Query,Low
TKT-10334,"Hi support team, Notification emails are arriving with some formatting issues. Thanks in advance.",Technical Issue,Low
TKT-10845,Urgent: Legal team needs your data processing agreement urgently for contract signing. Please help.,General Query,High
TKT-11251,Urgent: I would like to downgrade my plan and understand the billing impact.,Billing,Medium
TKT-11052,Dashboard widgets are not loading properly on Chrome browser.,Technical Issue,Medium
TKT-11923,Critical bug: all our user data appears corrupted after the last update. This is affecting my work.,Technical Issue,High
TKT-10015,"Hi support team, What are your customer support hours? This is affecting my work.",General Query,Low
TKT-10707,"Hi support team, Login is broken for all users in our organization.",Technical Issue,High
TKT-10900,"Hello, I would like to downgrade my plan and understand the billing impact.",Billing,Medium
TKT-11979,"Hello, I was charged twice for my subscription this month. Please refund immediately. Thanks in advance.",Billing,High
TKT-11572,"Hi support team, How do I add a team member with limited permissions to my account? Please help.",Account,Medium
TKT-10903,Is there a mobile app available for iOS and Android?,General Query,Low
TKT-10465,"Good morning, What is your uptime SLA and how do you handle planned maintenance? This is affecting my work.",General Query,Medium
TKT-11977,"Hello, Login is broken for all users in our organization.",Technical Issue,High
TKT-10199,"Good morning, Can I get a receipt for my last payment? Please help.",Billing,Low
TKT-11206,"Good morning, I need to update my billing information and payment method. Thanks in advance.",Billing,Medium
TKT-11055,"Hi support team, Please add the ability to export reports in Excel format. This is affecting my work.",Feature Request,Medium
TKT-11131,Urgent: I have a question about my invoice from last month. Thanks in advance.,Billing,Medium
TKT-11379,I would like to downgrade my plan and understand the billing impact. Thanks in advance.,Billing,Medium
TKT-10998,Minor lag when switching between tabs in the dashboard. This is affecting my work.,Technical Issue,Low
TKT-10727,Where can I find my account ID? Please help.,Account,Low
TKT-11771,Double billing occurred on my account. Need immediate resolution.,Billing,High
TKT-11909,"Hello, I was charged twice for my subscription this month. Please refund immediately.",Billing,High
TKT-11821,"Good morning, Does your platform support GDPR compliance features? This is affecting my work.",General Query,Medium
TKT-10567,I need to update my company details and billing address.,Account,Medium
TKT-10043,"Hello, I would like to downgrade my plan and understand the billing impact. This is affecting my work.",Billing,Medium
TKT-10274,Urgent: My credit card was billed without authorization. This needs urgent attention. This is affecting my work.,Billing,High
TKT-11096,It would be great to have a calendar view for task management. Please help.,Feature Request,Medium
TKT-10101,"Hello, I have a question about my invoice from last month. Thanks in advance.",Billing,Medium
TKT-11231,"Good morning, Dark mode has a small color inconsistency on the settings page. Thanks in advance.",Technical Issue,Low
TKT-11721,"Hello, Do you offer annual billing discounts? This is affecting my work.",Billing,Low
TKT-11832,"Hi support team, What languages does your platform support? Thanks in advance.",General Query,Low
TKT-10107,"Good morning, Dashboard widgets are not loading properly on Chrome browser.",Technical Issue,Medium
TKT-11617,My account has been locked and I cannot access critical business data. Thanks in advance.,Account,High
TKT-10497,"Hi support team, Can you add keyboard shortcuts for common actions?",Feature Request,Medium
TKT-11980,Urgent: Can I add a profile picture to my account? This is affecting my work.,Account,Low
TKT-10881,Critical bug: all our user data appears corrupted after the last update. This is affecting my work.,Technical Issue,High
TKT-10756,"Good morning, How do I add a team member with limited permissions to my account?",Account,Medium
TKT-10619,What are your customer support hours? This is affecting my work.,General Query,Low
TKT-11106,Urgent: My account has been locked and I cannot access critical business data.,Account,High
TKT-11935,"Hello, Could you add drag and drop support for file attachments? This is affecting my work.",Feature Request,Low
TKT-10809,I forgot my password and the reset email is not arriving.,Account,Medium
TKT-11037,"Hi support team, Dark mode has a small color inconsistency on the settings page. This is affecting my work.",Technical Issue,Low
TKT-10072,Legal team needs your data processing agreement urgently for contract signing. Thanks in advance.,General Query,High
TKT-11283,"Hello, I would like to downgrade my plan and understand the billing impact. This is affecting my work.",Billing,Medium
TKT-11271,Can I get a receipt for my last payment? Thanks in advance.,Billing,Low
TKT-11334,How do I update my notification preferences? Thanks in advance.,Account,Low
TKT-11458,"Hello, Legal team needs your data processing agreement urgently for contract signing. This is affecting my work.",General Query,High
TKT-10481,Legal team needs your data processing agreement urgently for contract signing.,General Query,High
TKT-11068,"Hi support team, The export feature is not working correctly. Files download but are empty.",Technical Issue,Medium
TKT-10506,I need to update my billing information and payment method. Thanks in advance.,Billing,Medium
TKT-11237,"Hello, We would love a dark mode option for the web interface. This is affecting my work.",Feature Request,Medium
TKT-11861,Urgent: Critical bug: all our user data appears corrupted after the last update. Thanks in advance.,Technical Issue,High
TKT-11989,"Good morning, Do you offer a free trial for new users?",General Query,Low
TKT-11476,"Hi support team, Your service is completely down. We cannot access the platform at all. This is affecting my work.",Technical Issue,High
TKT-11866,Urgent: How do I add a team member with limited permissions to my account?,Account,Medium
TKT-11455,I need to update my company details and billing address.,Account,Medium
TKT-10311,I was charged twice for my subscription this month. Please refund immediately.,Billing,High
TKT-10962,"Hi support team, I forgot my password and the reset email is not arriving.",Account,Medium
TKT-10405,"Hi support team, My account has been locked and I cannot access critical business data.",Account,High
TKT-11330,"Good morning, Can you explain how your data backup and recovery process works? Please help.",General Query,Medium
TKT-11649,"Good morning, What integrations do you support with third-party tools? Please help.",General Query,Medium
TKT-10309,"Hi support team, Can you explain how your data backup and recovery process works? Please help.",General Query,Medium
TKT-10226,"Hi support team, What languages does your platform support? This is affecting my work.",General Query,Low
TKT-11857,"Good morning, The mobile app crashes whenever I try to upload an image. Thanks in advance.",Technical Issue,Medium
TKT-10710,"Hello, The UI looks slightly broken on Safari, minor layout issue. Thanks in advance.",Technical Issue,Low
TKT-11943,"Good morning, I was charged twice for my subscription this month. Please refund immediately. Thanks in advance.",Billing,High
TKT-11383,Urgent: The mobile app crashes whenever I try to upload an image.,Technical Issue,Medium
TKT-11785,My account has been locked and I cannot access critical business data. Thanks in advance.,Account,High
TKT-10148,"Hello, Critical bug: all our user data appears corrupted after the last update.",Technical Issue,High
TKT-11554,"Good morning, All admin users have been accidentally removed and we are locked out. This is affecting my work.",Account,High
TKT-11956,"Good morning, We need audit logs for compliance or we cannot use your service.",Feature Request,High
TKT-10925,Urgent: Your service is completely down. We cannot access the platform at all. Please help.,Technical Issue,High
TKT-10942,How do I change my display name on my profile? This is affecting my work.,Account,Low
TKT-10836,"Good morning, Does your platform support GDPR compliance features? This is affecting my work.",General Query,Medium
TKT-10575,"Hi support team, Does your platform support GDPR compliance features? This is affecting my work.",General Query,Medium
TKT-10557,The export feature is not working correctly. Files download but are empty. Please help.,Technical Issue,Medium
TKT-11235,Urgent: Double billing occurred on my account. Need immediate resolution. This is affecting my work.,Billing,High
TKT-11360,Double billing occurred on my account. Need immediate resolution.,Billing,High
TKT-11347,"Hi support team, I keep getting a 404 error when trying to access the reports section. Please help.",Technical Issue,Medium
TKT-11161,"Hello, Login is broken for all users in our organization.",Technical Issue,High
TKT-11442,My credit card was billed without authorization. This needs urgent attention.,Billing,High
TKT-10286,"Good morning, What is your uptime SLA and how do you handle planned maintenance? This is affecting my work.",General Query,Medium
TKT-11604,"Hello, What languages does your platform support?",General Query,Low
TKT-11057,"Good morning, The mobile app crashes whenever I try to upload an image.",Technical Issue,Medium
TKT-10598,I forgot my password and the reset email is not arriving.,Account,Medium
TKT-10932,How do I change my display name on my profile? Please help.,Account,Low
TKT-11461,Urgent: What integrations do you support with third-party tools? Thanks in advance.,General Query,Medium
TKT-11637,"Hi support team, Do you have a public API documentation page?",General Query,Low
TKT-11587,Urgent: Do you offer annual billing discounts?,Billing,Low
TKT-11040,"Good morning, API returning 500 errors for all requests. Our entire workflow is blocked.",Technical Issue,High
TKT-11230,"Hi support team, Dark mode has a small color inconsistency on the settings page.",Technical Issue,Low
TKT-10806,Login is broken for all users in our organization.,Technical Issue,High
TKT-10904,"Hello, Login is broken for all users in our organization.",Technical Issue,High
TKT-11679,Urgent: I was charged twice for my subscription this month. Please refund immediately. Thanks in advance.,Billing,High
TKT-11204,I keep getting a 404 error when trying to access the reports section. Please help.,Technical Issue,Medium
TKT-10767,"Good morning, Can I add a profile picture to my account?",Account,Low
TKT-10609,"Good morning, Critical bug: all our user data appears corrupted after the last update. Thanks in advance.",Technical Issue,High
TKT-11992,"Hello, Can I get a receipt for my last payment? Please help.",Billing,Low
TKT-11564,We need audit logs for compliance or we cannot use your service.,Feature Request,High
TKT-11422,Does your platform support GDPR compliance features? This is affecting my work.,General Query,Medium
TKT-11010,"Good morning, My credit card was billed without authorization. This needs urgent attention.",Billing,High
TKT-10493,"Hi support team, The UI looks slightly broken on Safari, minor layout issue.",Technical Issue,Low
TKT-11320,Urgent: How do I add a team member with limited permissions to my account? Thanks in advance.,Account,Medium
TKT-10277,When does my billing cycle reset each month?,Billing,Low
TKT-11846,I keep getting a 404 error when trying to access the reports section.,Technical Issue,Medium
TKT-10358,"Hi support team, I need to transfer my account to a new email address. Please help.",Account,Medium
TKT-11110,"Hi support team, Double billing occurred on my account. Need immediate resolution.",Billing,High
TKT-10236,I need to update my billing information and payment method.,Billing,Medium
TKT-10551,"Good morning, Can I add a profile picture to my account? Please help.",Account,Low
TKT-11867,My credit card was billed without authorization. This needs urgent attention. This is affecting my work.,Billing,High
TKT-11812,Notification emails are arriving with some formatting issues. Thanks in advance.,Technical Issue,Low
TKT-10208,"Hello, Can you explain how your data backup and recovery process works? Thanks in advance.",General Query,Medium
TKT-11386,It would be great to have a calendar view for task management.,Feature Request,Medium
TKT-11560,Urgent: What languages does your platform support? This is affecting my work.,General Query,Low
TKT-10058,"Hi support team, API returning 500 errors for all requests. Our entire workflow is blocked. Thanks in advance.",Technical Issue,High
TKT-10631,"Hi support team, What is your uptime SLA and how do you handle planned maintenance? Thanks in advance.",General Query,Medium
TKT-11961,"Hi support team, Dark mode has a small color inconsistency on the settings page.",Technical Issue,Low
TKT-11859,Urgent: Can you explain how your data backup and recovery process works? This is affecting my work.,General Query,Medium
TKT-11816,"Good morning, I was charged twice for my subscription this month. Please refund immediately. Please help.",Billing,High
TKT-10363,The mobile app crashes whenever I try to upload an image. Thanks in advance.,Technical Issue,Medium
TKT-10505,Urgent: Could you add drag and drop support for file attachments?,Feature Request,Low
TKT-11165,Dashboard widgets are not loading properly on Chrome browser. Thanks in advance.,Technical Issue,Medium
TKT-11121,How do I add a team member with limited permissions to my account?,Account,Medium
TKT-11629,Urgent: We would love a dark mode option for the web interface. This is affecting my work.,Feature Request,Medium
TKT-11216,"Good morning, When does my billing cycle reset each month?",Billing,Low
TKT-11151,"Hi support team, The UI looks slightly broken on Safari, minor layout issue. This is affecting my work.",Technical Issue,Low
TKT-11124,"Good morning, API returning 500 errors for all requests. Our entire workflow is blocked.",Technical Issue,High
TKT-11594,"Hi support team, Can I get a receipt for my last payment? Please help.",Billing,Low
TKT-10118,My credit card was billed without authorization. This needs urgent attention.,Billing,High
TKT-11249,"Hi support team, Would be nice to have more color themes available. This is affecting my work.",Feature Request,Low
TKT-11993,We need audit logs for compliance or we cannot use your service. Thanks in advance.,Feature Request,High
TKT-10522,"Hi support team, Can you explain how your data backup and recovery process works? Thanks in advance.",General Query,Medium
TKT-10513,Urgent: Please add the ability to pin important messages.,Feature Request,Low
TKT-10081,Urgent: All admin users have been accidentally removed and we are locked out. Thanks in advance.,Account,High
TKT-10915,"Hi support team, How do I add a team member with limited permissions to my account? Thanks in advance.",Account,Medium
TKT-11018,"Hello, My account has been locked and I cannot access critical business data. Please help.",Account,High
TKT-10380,"Hello, Where can I find my account ID?",Account,Low
TKT-11029,Urgent: API returning 500 errors for all requests. Our entire workflow is blocked.,Technical Issue,High
TKT-11688,Urgent: API returning 500 errors for all requests. Our entire workflow is blocked. Thanks in advance.,Technical Issue,High
TKT-10084,I need to update my company details and billing address. Thanks in advance.,Account,Medium
TKT-11677,I need to update my company details and billing address. This is affecting my work.,Account,Medium
TKT-10329,Can you explain the charge on my latest billing statement? This is affecting my work.,Billing,Medium
TKT-10006,"Good morning, I need to update my billing information and payment method.",Billing,Medium
TKT-10745,"Hello, Could you support emoji reactions on comments? This is affecting my work.",Feature Request,Low
TKT-11553,I would like to downgrade my plan and understand the billing impact.,Billing,Medium
TKT-10914,Urgent: What is your uptime SLA and how do you handle planned maintenance? Please help.,General Query,Medium
TKT-10873,Do you have a public API documentation page?,General Query,Low
TKT-10451,Urgent: I suspect my account has been compromised with logins from unknown locations.,Account,High
TKT-10490,"Hi support team, Where can I find my account ID? This is affecting my work.",Account,Low
TKT-11480,When does my billing cycle reset each month? Thanks in advance.,Billing,Low
TKT-10287,"Hello, Can you add keyboard shortcuts for common actions?",Feature Request,Medium
TKT-10948,API returning 500 errors for all requests. Our entire workflow is blocked. This is affecting my work.,Technical Issue,High
TKT-11985,Urgent: Your service is completely down. We cannot access the platform at all. Please help.,Technical Issue,High
TKT-11368,"Hello, Do you have a public API documentation page? Please help.",General Query,Low
TKT-11146,"Hello, Dark mode has a small color inconsistency on the settings page.",Technical Issue,Low
TKT-10705,"Good morning, What languages does your platform support?",General Query,Low
TKT-11726,"Hello, Can you explain how your data backup and recovery process works? Thanks in advance.",General Query,Medium
TKT-11701,"Good morning, Notification emails are arriving with some formatting issues. This is affecting my work.",Technical Issue,Low
TKT-11628,Could you add drag and drop support for file attachments?,Feature Request,Low
TKT-11599,I would like to downgrade my plan and understand the billing impact. Thanks in advance.,Billing,Medium
TKT-11538,Can you explain the charge on my latest billing statement? This is affecting my work.,Billing,Medium
TKT-11405,"Good morning, What integrations do you support with third-party tools?",General Query,Medium
TKT-11650,I need to update my company details and billing address. Please help.,Account,Medium
TKT-10327,What is your uptime SLA and how do you handle planned maintenance?,General Query,Medium
TKT-10442,"Hi support team, When does my billing cycle reset each month?",Billing,Low
TKT-10774,"Hi support team, Can you explain how your data backup and recovery process works? Please help.",General Query,Medium
TKT-11087,"Hello, How do I add a team member with limited permissions to my account? Please help.",Account,Medium
TKT-11220,Urgent: Notification emails are arriving with some formatting issues.,Technical Issue,Low
TKT-11635,Urgent: Is there a mobile app available for iOS and Android? Please help.,General Query,Low
TKT-10177,Dashboard widgets are not loading properly on Chrome browser. This is affecting my work.,Technical Issue,Medium
TKT-11322,I keep getting a 404 error when trying to access the reports section. Please help.,Technical Issue,Medium
TKT-10704,"Hi support team, I have a question about my invoice from last month.",Billing,Medium
TKT-10086,"Good morning, I need to transfer my account to a new email address. This is affecting my work.",Account,Medium
TKT-11883,Urgent: What payment methods do you accept?,Billing,Low
TKT-11947,"Good morning, The mobile app crashes whenever I try to upload an image.",Technical Issue,Medium
TKT-10457,"Hi support team, Do you offer annual billing discounts? This is affecting my work.",Billing,Low
TKT-11828,Urgent: How do I update my notification preferences?,Account,Low
TKT-10054,Urgent: Notification emails are arriving with some formatting issues. This is affecting my work.,Technical Issue,Low
TKT-11501,Urgent: Can you explain how your data backup and recovery process works? Please help.,General Query,Medium
TKT-10643,"Hi support team, Please add the ability to export reports in Excel format. This is affecting my work.",Feature Request,Medium
TKT-10677,Where can I find my account ID?,Account,Low
TKT-10221,"Hi support team, Dark mode has a small color inconsistency on the settings page.",Technical Issue,Low
TKT-10113,"Hello, I need to update my billing information and payment method. Please help.",Billing,Medium
TKT-10982,I need to update my billing information and payment method. Thanks in advance.,Billing,Medium
TKT-11228,Urgent: The export feature is not working correctly. Files download but are empty.,Technical Issue,Medium
TKT-10999,Urgent: Our entire team is blocked without bulk export functionality. This is business critical.,Feature Request,High
TKT-10174,"Good morning, My account has been locked and I cannot access critical business data.",Account,High
TKT-10781,"Hello, Can you add keyboard shortcuts for common actions?",Feature Request,Medium
TKT-10589,Urgent: I need to update my billing information and payment method. Please help.,Billing,Medium
TKT-11559,Legal team needs your data processing agreement urgently for contract signing.,General Query,High
TKT-10018,Urgent: What payment methods do you accept?,Billing,Low
TKT-10423,How do I update my notification preferences? Thanks in advance.,Account,Low
TKT-11343,"Hi support team, What integrations do you support with third-party tools? This is affecting my work.",General Query,Medium
TKT-10285,"Good morning, I need to update my billing information and payment method.",Billing,Medium
TKT-11583,Critical bug: all our user data appears corrupted after the last update. Please help.,Technical Issue,High
TKT-10428,"Hello, Our entire team is blocked without bulk export functionality. This is business critical. This is affecting my work.",Feature Request,High
TKT-11509,Urgent: What integrations do you support with third-party tools?,General Query,Medium
TKT-11318,"Hi support team, I need to update my billing information and payment method. Thanks in advance.",Billing,Medium
TKT-10669,"Hello, Does your platform support GDPR compliance features? Thanks in advance.",General Query,Medium
TKT-10031,"Hello, What languages does your platform support? Thanks in advance.",General Query,Low
TKT-10940,"Good morning, Double billing occurred on my account. Need immediate resolution. Thanks in advance.",Billing,High
TKT-10722,I forgot my password and the reset email is not arriving. Please help.,Account,Medium
TKT-10994,"Good morning, Do you have a public API documentation page?",General Query,Low
TKT-10214,Urgent: I forgot my password and the reset email is not arriving. This is affecting my work.,Account,Medium
TKT-10813,Urgent: What languages does your platform support? Thanks in advance.,General Query,Low
TKT-10326,Minor lag when switching between tabs in the dashboard.,Technical Issue,Low
TKT-10560,Does your platform support GDPR compliance features?,General Query,Medium
TKT-11112,"Hi support team, I was charged twice for my subscription this month. Please refund immediately.",Billing,High
TKT-10700,Double billing occurred on my account. Need immediate resolution. Thanks in advance.,Billing,High
TKT-11578,"Good morning, Can I add a profile picture to my account? This is affecting my work.",Account,Low
TKT-11189,Double billing occurred on my account. Need immediate resolution.,Billing,High
TKT-10341,"Hello, Can I get a receipt for my last payment?",Billing,Low
TKT-10629,Urgent: Dashboard widgets are not loading properly on Chrome browser. This is affecting my work.,Technical Issue,Medium
TKT-10147,"Hello, I need to transfer my account to a new email address. Thanks in advance.",Account,Medium
TKT-11309,"Good morning, Can you explain the charge on my latest billing statement? Please help.",Billing,Medium
TKT-10360,Can you explain how your data backup and recovery process works?,General Query,Medium
TKT-10083,I suspect my account has been compromised with logins from unknown locations. This is affecting my work.,Account,High
TKT-10048,"Hello, Dashboard widgets are not loading properly on Chrome browser. Thanks in advance.",Technical Issue,Medium
TKT-10468,"Hello, Double billing occurred on my account. Need immediate resolution.",Billing,High
TKT-10155,"Good morning, Dashboard widgets are not loading properly on Chrome browser.",Technical Issue,Medium
TKT-10772,Dark mode has a small color inconsistency on the settings page. Please help.,Technical Issue,Low
TKT-11239,"The UI looks slightly broken on Safari, minor layout issue. Thanks in advance.",Technical Issue,Low
TKT-11200,"Good morning, Can you explain how your data backup and recovery process works?",General Query,Medium
TKT-11402,Urgent: I need to update my billing information and payment method. Thanks in advance.,Billing,Medium
TKT-11202,"Good morning, Dark mode has a small color inconsistency on the settings page. Thanks in advance.",Technical Issue,Low
TKT-11630,"Hello, Please add the ability to pin important messages. This is affecting my work.",Feature Request,Low
TKT-10500,"Good morning, Your service is completely down. We cannot access the platform at all.",Technical Issue,High
TKT-11764,"Hi support team, API returning 500 errors for all requests. Our entire workflow is blocked.",Technical Issue,High
TKT-10179,"Good morning, When does my billing cycle reset each month?",Billing,Low
TKT-11047,I need to update my billing information and payment method.,Billing,Medium
TKT-11755,Urgent: What integrations do you support with third-party tools? Please help.,General Query,Medium
TKT-10950,"Hello, Login is broken for all users in our organization.",Technical Issue,High
TKT-11316,I forgot my password and the reset email is not arriving. This is affecting my work.,Account,Medium
TKT-11619,All admin users have been accidentally removed and we are locked out.,Account,High
TKT-10528,"Hi support team, The export feature is not working correctly. Files download but are empty. Thanks in advance.",Technical Issue,Medium
TKT-10346,"Good morning, Can I add a profile picture to my account?",Account,Low
TKT-11387,"Hello, The export feature is not working correctly. Files download but are empty.",Technical Issue,Medium
TKT-11960,"Hello, The export feature is not working correctly. Files download but are empty.",Technical Issue,Medium
TKT-11050,API returning 500 errors for all requests. Our entire workflow is blocked. Thanks in advance.,Technical Issue,High
TKT-11972,Urgent: Please add the ability to pin important messages. Thanks in advance.,Feature Request,Low
TKT-11441,Can I add a profile picture to my account? Thanks in advance.,Account,Low
TKT-10601,"Good morning, The export feature is not working correctly. Files download but are empty.",Technical Issue,Medium
TKT-11281,"Good morning, API returning 500 errors for all requests. Our entire workflow is blocked. Thanks in advance.",Technical Issue,High
TKT-10243,Urgent: Does your platform support GDPR compliance features? Please help.,General Query,Medium
TKT-11336,Dashboard widgets are not loading properly on Chrome browser. Please help.,Technical Issue,Medium
TKT-11067,"Hello, My credit card was billed without authorization. This needs urgent attention.",Billing,High
TKT-11475,Urgent: Where can I find my account ID?,Account,Low
TKT-10312,Login is broken for all users in our organization.,Technical Issue,High
TKT-10435,Urgent: Can you explain the charge on my latest billing statement?,Billing,Medium
TKT-11898,Legal team needs your data processing agreement urgently for contract signing.,General Query,High
TKT-11328,"Hi support team, Login is broken for all users in our organization. Thanks in advance.",Technical Issue,High
TKT-10308,Legal team needs your data processing agreement urgently for contract signing. Thanks in advance.,General Query,High
TKT-10430,"Hi support team, Minor lag when switching between tabs in the dashboard.",Technical Issue,Low
TKT-10660,Is there a mobile app available for iOS and Android? This is affecting my work.,General Query,Low
TKT-10370,"Hello, Can I get a receipt for my last payment? Thanks in advance.",Billing,Low
TKT-10566,Your service is completely down. We cannot access the platform at all.,Technical Issue,High
TKT-10979,"Good morning, I keep getting a 404 error when trying to access the reports section. Please help.",Technical Issue,Medium
TKT-10181,"Hi support team, API returning 500 errors for all requests. Our entire workflow is blocked.",Technical Issue,High
TKT-11362,"Hi support team, Our entire team is blocked without bulk export functionality. This is business critical.",Feature Request,High
TKT-10621,We are evaluating your platform for 500 users and need urgent response for a board decision tomorrow. Please help.,General Query,High
TKT-10818,"The UI looks slightly broken on Safari, minor layout issue. Please help.",Technical Issue,Low
TKT-11192,I would like to downgrade my plan and understand the billing impact. This is affecting my work.,Billing,Medium
TKT-10952,Urgent: Double billing occurred on my account. Need immediate resolution. Thanks in advance.,Billing,High
TKT-11421,"Hello, I forgot my password and the reset email is not arriving. This is affecting my work.",Account,Medium
TKT-11840,Urgent: Minor lag when switching between tabs in the dashboard.,Technical Issue,Low
TKT-10922,What is your uptime SLA and how do you handle planned maintenance? Thanks in advance.,General Query,Medium
TKT-11073,"Good morning, What payment methods do you accept?",Billing,Low
TKT-10296,Can you explain the charge on my latest billing statement?,Billing,Medium
TKT-10966,"Good morning, I forgot my password and the reset email is not arriving.",Account,Medium
